ID,PNGR,Algorithm,Bits,Time(ms),Prime
1,LCG,Miller-Rabin,40,0.65077,802425326441
12,LCG,Fermat,40,0.738413,802425326441
2,LCG,Miller-Rabin,56,1.132367,67586500129407673
13,LCG,Fermat,56,0.97304,67586500129407673
3,LCG,Miller-Rabin,80,1.218874,624831958107153670344563
14,LCG,Fermat,80,1.175377,624831958107153670344563
4,LCG,Miller-Rabin,128,3.199128,244677332210009318426164760085708274153
15,LCG,Fermat,128,3.373261,244677332210009318426164760085708274153
5,LCG,Miller-Rabin,168,6.788505,316678594970395864046138191155741212174182048630663
16,LCG,Fermat,168,6.111927,316678594970395864046138191155741212174182048630663
6,LCG,Miller-Rabin,224,39.543065,24787504968287536690068507035715086133685082660649951362635198398439
17,LCG,Fermat,224,36.878046,24787504968287536690068507035715086133685082660649951362635198398439
7,LCG,Miller-Rabin,256,18.821477,97318033897574727183485146122534589192581517452623061724098809397107216289749
18,LCG,Fermat,256,20.149489,97318033897574727183485146122534589192581517452623061724098809397107216289749
8,LCG,Miller-Rabin,512,197.400012,10399772206453608276225258770125780935215907777531095044467576793576520318507803189947230384769936324733217693064402409800342124505527610466284590073700377
19,LCG,Fermat,512,161.68136,10399772206453608276225258770125780935215907777531095044467576793576520318507803189947230384769936324733217693064402409800342124505527610466284590073700377
9,LCG,Miller-Rabin,1024,5442.210322,123488620815457502895900199284744433085742884873108570076675628497926895583255363332154047318196646101674919333687397580150687965814044942871868060125116484360861342516941350526245701222238564087920869527354268314711293840145133053507841041346198968839991998015471407033142226799496104483965529091827202666811
20,LCG,Fermat,1024,5635.039621,123488620815457502895900199284744433085742884873108570076675628497926895583255363332154047318196646101674919333687397580150687965814044942871868060125116484360861342516941350526245701222238564087920869527354268314711293840145133053507841041346198968839991998015471407033142226799496104483965529091827202666811
10,LCG,Miller-Rabin,2048,40778.59109,16614099291319133679870305630014258987134956844045271988104682371246630274217709594697475298378432688452833444685820718209919616558869666560119322255842962009468240890606029652349247338548175732562090807309787168439802841453143049987058135991539432398312253149961070999876251612056157924134546824605823854640986987298927026306638512713534474545015272729542596238273735993523929685008967584048342495967005111010206384678208159477723979626218073059362920789326290928020566538292317212207712654520598842482668249219214206504157869602819685901826575429749793984518613099782014280602809762204266947683132314014205808902057
21,LCG,Fermat,2048,41259.103148,16614099291319133679870305630014258987134956844045271988104682371246630274217709594697475298378432688452833444685820718209919616558869666560119322255842962009468240890606029652349247338548175732562090807309787168439802841453143049987058135991539432398312253149961070999876251612056157924134546824605823854640986987298927026306638512713534474545015272729542596238273735993523929685008967584048342495967005111010206384678208159477723979626218073059362920789326290928020566538292317212207712654520598842482668249219214206504157869602819685901826575429749793984518613099782014280602809762204266947683132314014205808902057
11,LCG,Miller-Rabin,4096,48258.320493,649794890023599125843743828912163944933749310764984868372861902240550013006377980715579926041516455386556524582600256039636054150316933973340704212208575497427510237644834170096985835496445707851797543498302996454236808239258220092243762155408833080282648555726880592662314277920385776570355235791368855003562893325081334157993054823406454054460424640759718797333522689164441781116755140984243608998928695592047500014577635454039211663110688954185225561119300758143394361305073696925823574728001868259954403561285065795109279024657713299482983265868354933398410193067034826352575223809780335964914642350451888254976697752254074075443726971966532788352279042096564338851517909865581358278033613285432111725056796318312636687866014283544911432294055968664762397765677272910627023089952533881920501819561595530163719015172866385840992194121703338982911230590504080103008377903699152754571463669447099001790804310537455149093384259638101986935755043312784563528843626645510912863930400337180509442545207598222078179216943054237848309290974172341012390491274196198538000519025537517114429223065995230720276828922133824850948216355793726494675963664659380329243082337718050561955010577618513742536310706626710477738359582819246395709009549
22,LCG,Fermat,4096,47687.799037,649794890023599125843743828912163944933749310764984868372861902240550013006377980715579926041516455386556524582600256039636054150316933973340704212208575497427510237644834170096985835496445707851797543498302996454236808239258220092243762155408833080282648555726880592662314277920385776570355235791368855003562893325081334157993054823406454054460424640759718797333522689164441781116755140984243608998928695592047500014577635454039211663110688954185225561119300758143394361305073696925823574728001868259954403561285065795109279024657713299482983265868354933398410193067034826352575223809780335964914642350451888254976697752254074075443726971966532788352279042096564338851517909865581358278033613285432111725056796318312636687866014283544911432294055968664762397765677272910627023089952533881920501819561595530163719015172866385840992194121703338982911230590504080103008377903699152754571463669447099001790804310537455149093384259638101986935755043312784563528843626645510912863930400337180509442545207598222078179216943054237848309290974172341012390491274196198538000519025537517114429223065995230720276828922133824850948216355793726494675963664659380329243082337718050561955010577618513742536310706626710477738359582819246395709009549
23,Xorshift,Miller-Rabin,40,1.458424,1027445792983
34,Xorshift,Fermat,40,1.73918,1027445792983
24,Xorshift,Miller-Rabin,56,0.942798,45538641082966963
35,Xorshift,Fermat,56,0.887714,45538641082966963
25,Xorshift,Miller-Rabin,80,0.305417,620589575153291954655521
36,Xorshift,Fermat,80,0.302,620589575153291954655521
26,Xorshift,Miller-Rabin,128,3.633937,258478857227136228637086404571588838979
37,Xorshift,Fermat,128,3.648039,258478857227136228637086404571588838979
27,Xorshift,Miller-Rabin,168,18.342061,303690275027400150211420503629276474495608998712597
38,Xorshift,Fermat,168,17.847965,303690275027400150211420503629276474495608998712597
28,Xorshift,Miller-Rabin,224,30.003798,24979707400740081795703744017995213499455349266490215332425309480347
39,Xorshift,Fermat,224,29.152346,24979707400740081795703744017995213499455349266490215332425309480347
29,Xorshift,Miller-Rabin,256,16.005599,75421026142188466618374270956553657956044592862062370948851973448619990356571
40,Xorshift,Fermat,256,15.947719,75421026142188466618374270956553657956044592862062370948851973448619990356571
30,Xorshift,Miller-Rabin,512,516.697902,7411266774656973477869513357854255396208074076835035812724666595670963477823640096621096129008722022384784199647316232024326959546560627477234633515461073
41,Xorshift,Fermat,512,542.232617,7411266774656973477869513357854255396208074076835035812724666595670963477823640096621096129008722022384784199647316232024326959546560627477234633515461073
31,Xorshift,Miller-Rabin,1024,1375.907647,117663421226361604122735138223860267630636383969365545051533535358151490273251351888670952405999250897729307008051347062188427600890682906026004821143164572131230327428205237418400070929400606177181180196179114313429303090732539468545240965119887075336131757948152018348186957429496404014570387600710160845653
42,Xorshift,Fermat,1024,1428.869362,117663421226361604122735138223860267630636383969365545051533535358151490273251351888670952405999250897729307008051347062188427600890682906026004821143164572131230327428205237418400070929400606177181180196179114313429303090732539468545240965119887075336131757948152018348186957429496404014570387600710160845653
32,Xorshift,Miller-Rabin,2048,25600.135499,28195682885002603173285083543435867602957168495960704846086705611898649226693512462621758598402869106660617648790535298388572835720033977266707045486301467099460116014007689129247709889731557153515384119513674624206318698940996748382198938152027886784039431642577007319002655279697208074360992526070723411822297959971202058016486785989858447621376697921098619989182203964958800908257369379097138965624363347681267991165123431192273206526195230232576897062890646618808602473458201779477451695656466454871431061460055766364998484307380378493136428061024753726723832435144637694702903274528779000431186638852423275974189
43,Xorshift,Fermat,2048,25649.137091,28195682885002603173285083543435867602957168495960704846086705611898649226693512462621758598402869106660617648790535298388572835720033977266707045486301467099460116014007689129247709889731557153515384119513674624206318698940996748382198938152027886784039431642577007319002655279697208074360992526070723411822297959971202058016486785989858447621376697921098619989182203964958800908257369379097138965624363347681267991165123431192273206526195230232576897062890646618808602473458201779477451695656466454871431061460055766364998484307380378493136428061024753726723832435144637694702903274528779000431186638852423275974189
